DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
221607555;04/22/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221609983;06/30/2022 12:00:00 AM;Foothill   ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
221615196;12/16/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221606564;03/21/2022 12:00:00 AM;Foothill   ;DOCUMENT FORGERY / STOLEN FELONY                        
231613896;11/09/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221604268;01/07/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221605629;02/21/2022 12:00:00 AM;Foothill   ;RAPE, FORCIBLE                                          
221605942;03/02/2022 12:00:00 AM;Foothill   ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
231613511;10/30/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221606629;03/22/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
211611263;08/31/2021 12:00:00 AM;Foothill   ;CHILD ANNOYING (17YRS & UNDER)                          
221608687;05/24/2022 12:00:00 AM;Foothill   ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
201605651;02/09/2020 12:00:00 AM;Foothill   ;ARSON                                                   
221614254;11/13/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221606131;03/07/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221607647;04/25/2022 12:00:00 AM;Foothill   ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
231609210;06/15/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
231614496;11/29/2023 12:00:00 AM;Foothill   ;ORAL COPULATION                                         
221612433;09/15/2022 12:00:00 AM;Foothill   ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
231611191;08/17/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221611892;08/26/2022 12:00:00 AM;Foothill   ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
211605013;02/03/2021 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221607970;12/28/2021 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221614062;11/07/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221607048;04/05/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
231604399;01/12/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221611890;08/30/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221607826;05/01/2022 12:00:00 AM;Foothill   ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
231611060;08/14/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
231609173;06/14/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
231613718;11/03/2023 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221610929;07/30/2022 12:00:00 AM;Foothill   ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
221612872;09/30/2022 12:00:00 AM;Foothill   ;BATTERY - SIMPLE ASSAULT                                
221614389;11/18/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221604195;01/05/2022 12:00:00 AM;Foothill   ;THEFT OF IDENTITY                                       
221614385;11/19/2022 12:00:00 AM;Foothill   ;VEHICLE - STOLEN                                        
